frame_id,frame_timestamp,frame_image_uid
1,756215298135,1673540112.9898
2,756248609925,1673540113.01677
3,756281912994,1673540113.06903
4,756315221085,1673540113.08254
5,756348522723,1673540113.11798
6,756381830652,1673540113.15313
7,756415139688,1673540113.18479
8,756448441974,1673540113.2196
9,756481750578,1673540113.25123
10,756515052189,1673540113.28592
11,756548360388,1673540113.3178
12,756581662917,1673540113.35285
13,756614971305,1673540113.38421
14,756648279801,1673540113.41981
15,756681581763,1673540113.45229
16,756714889746,1673540113.4859
17,756748192086,1673540113.51793
18,756781500717,1673540113.55234
19,756814803138,1673540113.58445
20,756848111094,1673540113.61799
21,756881419590,1673540113.64918
22,756914722038,1673540113.68532
23,756948030831,1673540113.71762
24,756981332739,1673540113.75193
26,757047943656,1673540113.81843
27,757081251288,1673540113.85034
28,757114559568,1673540113.88502
29,757147862394,1673540113.92179
30,757181171430,1673540113.95196
31,757214473959,1673540113.98383
32,757247781834,1673540114.01867
33,757281084012,1673540114.05056
34,757314391671,1673540114.08492
35,757347699411,1673540114.11694
36,757381001076,1673540114.15142
37,757414309815,1673540114.1838
38,757447612236,1673540114.21621
39,757480920408,1673540114.24851
40,757514222451,1673540114.28345
41,757547530677,1673540114.3163
42,757580839227,1673540114.35193
43,757614141918,1673540114.38319
44,757647450306,1673540114.41806
45,757680751998,1673540114.4502
46,757714060170,1673540114.48468
47,757780670790,1673540114.55183
48,757813979367,1673540114.58349
49,757847281707,1673540114.61782
50,757880589771,1673540114.65
51,757980502947,1673540114.7513
52,758013810795,1673540114.78337
53,758047118778,1673540114.8178
54,758080421226,1673540114.84994
55,758113729749,1673540114.88459
56,758147031981,1673540114.91663
57,758180340288,1673540114.95098
58,758213642898,1673540114.98314
59,758246950881,1673540115.01785
60,758280259161,1673540115.05019
61,758313561231,1673540115.08529
62,758346870078,1673540115.11637
63,758380172661,1673540115.15108
64,758413481076,1673540115.18317
65,758446783335,1673540115.21823
66,758480091102,1673540115.25191
67,758513399868,1673540115.28398
68,758546701992,1673540115.31628
69,758580010866,1673540115.3512
70,758613313098,1673540115.38289
71,758646621648,1673540115.4179
72,758679923583,1673540115.45151
73,758713231566,1673540115.48422
74,758746540413,1673540115.51638
75,758779842834,1673540115.55285
76,758813151438,1673540115.58246
77,758846453400,1673540115.61749
78,758879761140,1673540115.6491
79,758913063318,1673540115.68393
80,758946371922,1673540115.71578
81,758979680499,1673540115.75191
82,759012983001,1673540115.7826
83,759046291470,1673540115.81707
84,759079593027,1673540115.85174
85,759112902252,1673540115.88354
86,759146204079,1673540115.91572
87,759179513223,1673540115.951
88,759212821206,1673540115.98258
89,759246123006,1673540116.01705
90,759279431637,1673540116.05021
91,759312732789,1673540116.08392
92,759346041042,1673540116.11593
93,759379342707,1673540116.15107
94,759412651338,1673540116.18256
95,759445960293,1673540116.21697
96,759479261742,1673540116.24906
97,759512569887,1673540116.28787
99,759579181425,1673540116.35022
100,759612483900,1673540116.38207
101,759645792477,1673540116.41694
102,759679099677,1673540116.44899
103,759712401693,1673540116.48335
104,759745710405,1673540116.51554
105,759779013258,1673540116.55005
106,759812321646,1673540116.58377
107,759845623446,1673540116.62002
108,759878931645,1673540116.6516
109,759912240087,1673540116.68282
